# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
reports_privilegesPolicy_tooltip_EducationPrograms	\n-Grundutbildning \n-Allmän utbildning
reports_privilegesPolicy_tooltip_WellnessPrograms	\n-Beteendeterapi \n-Gruppterapi för alkoholister \n-Spirituell vägledning
reports_privilegesPolicy_tooltip_WorkPrograms	\n-Säkerhet och hygien i köket \n-introduktionskursen Säkerhet i verkstaden \n-Lärlingsprogram för snickeri

report_policy_categoryTooltip_Minsec	Lågsäkerhet
report_policy_categoryTooltip_Normal	Medelsäkerhet
report_policy_categoryTooltip_MaxSec	Högsäkerhet
report_policy_categoryTooltip_Protected	Skyddshäkte
report_policy_categoryTooltip_SuperMax	SuperMax
report_policy_categoryTooltip_DeathRow	Dödscell
report_policy_categoryTooltip_Insane	Rättspsykiatri

report_policy_misconductConflict_tooltip	Flera säkerhetstyper väljs med olika policyvärderingar. Välj enskilda internkategorier för att se deras policyer för dåligt uppförande.

report_policy_match	Matcha med:

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	Placera kockar
interfacedeployment_Doctor	Placera läkare

buildtoolbar_deployment_Chef	Placera kockar i olika fängelsesektorer.
buildtoolbar_deployment_Doctor	Placera läkare i olika fängelsesektorer.
buildtoolbar_deployment_PrioritizeJanitor	Använd det här alternativet för att prioritera städare att utföra sitt arbete inom vissa områden framför andra yrkesgrupper på fängelset. Om du har brist på personal kommer städarna att försöka täcka dina prioriterade områden först. Placera ut en, två eller tre städare för att prioritera ett område.
buildtoolbar_deployment_PrioritizeGardener	Använd det här alternativet för att prioritera trädgårdsmästare att utföra sitt arbete inom vissa områden framför andra yrkesgrupper på fängelset. Om du har brist på personal kommer trädgårdsmästarna att försöka täcka dina prioriterade områden först. Placera ut en, två eller tre trädgårdsmästare för att prioritera ett område.

researchtooltip_deployment2	Du kan välja att placera ut just denna personalgrupp i en viss sektor av fängelset via menyn Utplacering.
researchtooltip_prioritize	Du kan välja att placera ut just denna personalgrupp i en viss sektor av fängelset via menyn Utplacering.

interfacetopbar_tooltip_totalChefs	*X kockar totalt
interfacetopbar_tooltip_totalDoctors	*X läkare totalt
interfacetopbar_tooltip_cook	Antalet kockar som finns tillgängliga för arbete på fängelset.
interfacetopbar_tooltip_doctor	Antalet läkare som finns tillgängliga för arbete på fängelset.

interfacetopbar_tooltip_priorityStationed	*X prioriterade jobb

interfacetopbar_tooltip_totalJanitors	*X städare totalt
interfacetopbar_tooltip_totalGardeners	*X trädgårdsmästare totalt
interfacetopbar_tooltip_janitor	Antalet städare som finns tillgängliga för arbete på fängelset.
interfacetopbar_tooltip_gardener	Antalet trädgårdsmästare som finns tillgängliga för arbete på fängelset.

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X Interner *W som ska flyttas till *C:
reports_prisoners_transfer_ready	redo
reports_prisoners_transfer_wanting	saknas
reports_prisoners_transfer_button	GODKÄNN ALLA
reports_prsioners_transfer_numCells	(*X tillgängliga celler)

reports_transfers_offMessage	Förflyttning av intern kan aktiveras via menyn Kartinställningar.
report_Transfer	Förflyttningar

transfer_icon_tooltip	Använd alternativen nedan för att avgöra de kriterier för *X som internerna måste uppfylla för att flyttas till *Y. \nDu kan använda spalten Policykriterier för att göra det svårare för interner att kvalificera sig för en flytt och andra alternativ för att omedelbart diskvalificera vissa typer av fångar. \nDet är inte alla interner som är intresserade av att flyttas. Särskilt de med kort strafftid, de som planerar att gräva en tunnel ut eller de som helt enkelt inte tror att förhållandena och bekvämlighetsnivån på säkerhetssektorn under deras egen är särskilt mycket bättre.
transfer_tooltip_onOff	Avmarkera för att slå AV/PÅ för den eller de valda säkerhetssektorerna.

transfer_description	Ställ in kriterier som internerna måste uppfylla för att kunna flyttas till en sektor med lägre sektor med högre komfortnivå.
transfer_use	Kriterium för flytt från *X till *Y
transfer_behaviourtitle	Gott uppförande
transfer_reformtile	Reform
transfer_requiredtitle	Krävs
transfer_qualifiedcaption	Totalt antal interner som är kvalificerade
transfer_hopingcaption	Totalt antal interner som är motiverade att försöka kvalificera sig
transfer_numPrisoners	*X Interner (*Y %)

transfer_title	Förflyttningspolicyer
transfer_criteria	Policykriterier
transfer_qualifying	Godkända interner

transfer_behaviour_staffAssaults	Inga överfall på personal
transfer_behaviour_murders	Inga mord
transfer_behaviour_murdersStuff	(personal och interner)
transfer_behaviour_escapeAttempts	Inga flyktförsök
transfer_behaviour_contraband	Inget farligt smuggelgods
transfer_behaviour_gangMembers	Gängmedlemmar diskvalificeras
transfer_behaviour_previousCrimes	Diskvalificerande tidigare brott:

transfer_behaviour_tooltip_staffAssaults	För att kvalificera sig för förflyttning ska internen inte ha överfallit någon anställd på fängelset under det angivna antalet dagar. Ett högre antal dagar diskvalificerar interner som varit upprepat våldsamma.
transfer_behaviour_tooltip_murders	För att kvalificera sig för förflyttning ska internen inte ha dödat någon anställd eller annan intern på fängelset under det angivna antalet dagar. Ett högre antal dagar diskvalificerar de farligaste internerna.
transfer_behaviour_tooltip_escapeAttempts	För att kvalificera sig för förflyttning ska internen inte ha påkommits med att försöka rymma under det angivna antalet dagar.
transfer_behaviour_tooltip_contraband	För att kvalificera sig för förflyttning ska internen inte ha påkommits med vapen eller verktyg under det angivna antalet dagar.
transfer_behaviour_tooltip_gangMembers	Välj att diskvalificera ALLA gängmedlemmar från förflyttning eller bara vissa grader inom gänget.
transfer_behaviour_tooltip_previousCrimes	Välj att diskvalificera interner från förflyttning om de har begått vissa typer av brott med hjälp av brottsgruppalternativen nedan.

transfer_reform_tooltip_reoffending	För att kvalificera sig för förflyttning ska internens chanser för återfall inte ligga på en angiven procentandel eller vara lägre. En låg siffra säkerställer att bara de mest skötsamma och reformerade internerna kvalificerar sig för flytt.
transfer_reform_tooltip_programsPassed	För att kvalificera sig för förflyttning ska internen ha fullföljt ett visst antal program. En hög siffra motsvarar interner som inte har visat någon vilja att förändra sitt beteende.

transfer_required_tooltip	Reglera värdet för att bestämma om internerna måste uppfylla ALLA dina markerade kriterier för att kvalificera sig för flytt eller en mindre mängd.

transfer_tooltip_uncheck	\nAvmarkera för att ta bort detta som ett kriterium för flytt.


transfer_reform_reoffending	% uppskattad återfallsgrad
transfer_reform_programsPassed	Genomförda program

transfer_required	Kriteriet ovan måste uppfyllas

transfer_criteriaTime	under *X dag(ar)

gangNone	Inget
gang_transfer_None	Inget
gang_transfer_Soldier	Alla
gang_transfer_Lieutenant	Gängledare
gang_transfer_Leader	Ledare

report_prisoner_approve	Godkänn
report_prisoner_approveAll	Godkänn alla interner som uppfyller dina flyttkriterier för att flyttas ner till *X. Antalet interner som flyttas beror även på antalet lediga celler.

approveTransfer_title	Godkänn förflyttning
approveTransfer_message	Godkänn förflyttning of intern *F *S to *C
approveAllTransfer_message	Godkänn förflyttning av alla godkända interner till *C
approveAllTransfer_someMessage	Det finns bara *X gratissamtal i *C. Vill du flytta *X interner till *C
approveTransfer_noFreeCells	Det finns inga lediga celler som internen/internerna kan överflyttas till.

dialog_group	Grupp

transfer_pastCrimes_tooltip	Diskvalificera interner med brott av grupptyp *X i straffregistret, såsom:
transfer_criteria_met	*X/*Y

# =============================================================================
# Actions
# =============================================================================

action_RunTreadmill	Användning av löpband
action_PunchingBag	Användning av boxningssäck
action_Boxing	Användning av boxningsring

# =============================================================================
# Codex
# =============================================================================

codex_tooltip_escapeplans	Möjliggör fler flyktmöjligheter för interner. De kommer nu att klättra över murarna när de försöker rymma.
codex_options_shadowcaption	Växla skuggad
codex_options_punishmentscaption	Sök och åtgärder per sektor

codex_option_prisonerTransfer	Förflyttning av intern
codex_tooltip_prisonerTransfer	Inställningen Förflyttning av intern gör det möjligt att ställa in de kriterier som internerna måste uppfylla för att beviljas förflyttning och uppgradering till en sektor med lägre säkerhetsnivå inom fängelset – en sektor som kanske erbjuder högre bekvämlighet, bättre faciliteter och fler privilegier. \n\nInternerna kommer nu att utvärdera sin egen sektors förhållanden och jämföra dem med förhållandena i sektorn under deras nuvarande och därefter bestämma ifall de vill bli förflyttade. Om de bestämmer sig för det måste de också bestämma om de är villiga att förbättra sitt beteende och uppfylla din policy för förflyttningar, baserat på deras egna behov och egenskaper.\n\nVarje sektor betygsätts, baserad på de privilegier och faciliteter som du erbjuder internerna i den sektorn. Ju större ”skillnaden” är mellan den egna sektorn och den med lägre säkerhetsnivå, ju större är sannolikheten att interner kommer att vilja förflyttas dit.\n\nNär en intern väl uppfyllt dina kriterier för flytt är det fortfarande upp till dig att välja om de ska flyttas eller inte och när det ska ske.

# =============================================================================
# Miscelanious
# =============================================================================

action_Stretching	Träna
action_PlayChess	Spela schack
action_EatSnack	Hämta snacks

report_staff_multidelete	Använd ett klick på vänster musknapp för att avskeda en anställd, eller dra och håll ner knappen för att avskeda flera anställda.

codex_language_unsupported	---UPPDATERAS INTE LÄNGRE---
codex_language_mod	---SPRÅKMODDAR SOM SKAPATS AV EN COMMUNITY---

codex_language_unsupportedString	Det här språket stöds inte officiellt, vissa översättningar kan saknas.


report_policy_privilegesUnchangableTooltip	Den här säkerhetsnivån låser deras privilegiepolicyer.
transfer_review	Granska förflyttningar
reports_prisoners_transfer_otherPrisoners	*X Andra interner
approveTransfer_noFreeCells	Det finns inga lediga celler som internerna kan flyttas till. Skapa fler celler för den här säkerhetsnivån för att godkänna flytten.
prisoner_roomquality_veryLow	Mycket låg
prisoner_roomquality_low	Låg
prisoner_roomquality_high	Hög
prisoner_roomquality_veryHigh	Mycket hög
prisoner_roomquality_supreme	Högsta
report_policy_matchTitle	Matcha säkerhetssektorer
report_policy_match_tooltip	Matcha *X policyn för dåligt uppförande med en annan säkerhetssektor.
report_intake_cat_PrisonerTransfer	Legendarisk intern!


object_barbedwire	Taggtråd
object_roadbarrier	Vägspärr
buildtoolbar_popup_obj_roadbarrier	En solid vägspärr som till och med stoppar lastbilar i hög hastighet. Spärrar bara vägen under nedstängning av hela fängelset.

buildtoolbar_popup_help_Orderly_1	Fängelsevårdare är specialutbildade för att sköta interner på den rättspsykiatriska avdelningen. \n
buildtoolbar_popup_help_Orderly_2	Deras arbetsuppgifter påminner om både läkarens och fängelsevaktens, men de kan inte utöva samma slags tvång mot internerna som vanliga vakter kan. \n\n
buildtoolbar_popup_help_Orderly_3	Anställ fängelsevårdare för att ta hand om  internerna på den rättspsykiatriska avdelningen. De har till uppgift att:
buildtoolbar_popup_help_Orderly_4	hjälpa till vid intaget av interner till den rättspsykiatriska avdelningen,
buildtoolbar_popup_help_Orderly_5	eskortera interner från den rättspsykiatriska avdelningen till psykiatriska konsultationer (program),
buildtoolbar_popup_help_Orderly_6	vårda skadade interner på den rättspsykiatriska avdelningen,
buildtoolbar_popup_help_Orderly_7	ge lugnande medel åt interner på den rättspsykiatriska avdelningen,
buildtoolbar_popup_help_Orderly_8	lägga interner på den rättspsykiatriska avdelningen i tvångströja över natten,

buildtoolbar_popup_help_Psychiatrist_1	psykiatriker träffar interner på den rättspsykiatriska avdelningen för enskilda konsultationer.\n\n
buildtoolbar_popup_help_Psychiatrist_2	Varje psykiatriker behöver ett eget kontor.
buildtoolbar_popup_help_Psychiatrist_3	Psykiatriska konsultationer (program) kan startas för vård av internerna på den rättspsykiatriska avdelningen.
buildtoolbar_popup_help_Psychiatrist_4	Psykiatrikernas kontor kan också uppgraderas med nya föremål för att förbättra vården.

rapsheet_action	Handlingar
codex_settings_escapeplans	Aktivera rymningsplaner

############################### Sea and Air Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_WoodenDockFloor	Kaj (i trä)
material_waterBed	Botten (av hav eller sjö)
material_WaterShallow	Vatten (grunt)
material_WaterLarge	Vatten (stort)
material_WaterWalkable	Vatten (går att vada över)

# =============================================================================
# Objects - Names
# =============================================================================

object_FerryDock	Färjekaj
object_FerryBoat	Transportfärja
object_SupplyBoat	Båt för leveranser
object_PrisonBoat	Båt för interner
object_VisitorBoat	Båt för besökare
object_VisitorHeli	Helikopter för besökare
object_SupplyHeli	Helikopter för leveranser
object_PrisonHeli	Fängelsehelikopter
object_FireHeli	Flygburen brandbekämpning
object_EliteOpsHeli	Specialförband med elitsoldater
object_SoldiersHeli	Nationalgarde
object_HearseBoat	Bårbåt
object_HearseHeli	Bårhelikopter
object_ParamedicsHeli	Flygburen ambulanspersonal
object_Helipad	Helikopterplatta
object_BoatDock	Båtkaj
object_EliteOps	Operativ elitstyrka

object_Fountain	Fontän
object_SteppingStoneLillyPad	Gångplattor (näckros)
object_SteppingStoneIceBlock	Gångplattor (is)
object_SteppingStone	Gångplattor
object_SteppingStonePallet	Gångplattor (lastpall)
object_ScannerMonitor	Skannermonitor
object_ScannerMachine	Skanner
object_CheckPoint	Vaktpostering

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge	Ö tomt
codex_option_islandBridge	Har förbindelser ö tomt

codex_tooltip_islandNoBridge	Skapa en första fastighet av land omgiven av vatten. Den kommer att vara ansluten via en kaj istället för en väg.
codex_tooltip_islandBridge	Skapa en första fastighet på land omgiven av vatten.

mutator_name_DynamicReputations	Dynamiska rykten
mutator_tooltip_DynamicReputations	Internerna kan vinna eller förlora unika ryktesegenskaper under sin tid i fängelse, beroende på sina aktiviteter och erfarenheter under sin vistelse.

interfacelogistics_deliverytargeting	Leveranser
d11_logistic_select_delivery_method	Välj leverans
interfacelogistics_vehiclepurpose	Transport

buildtoolbar_Logistics_DeliveryTargeting	Länka leverans-, sophanterings- och utförselzoner till helikopterplattorna, bryggorna och vägen. Då kan du kontrollera var leveranserna hamnar och på vilket sätt utförslarna transporteras från ditt fängelse.
