# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Tüm Değişiklikler
buildtoolbar_popup_obj_signLetterQ	Üzerinde Q harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterR	Üzerinde R harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterS	Üzerinde S harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterT	Üzerinde T harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterU	Üzerinde U harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterV	Üzerinde V harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterW	Üzerinde W harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterX	Üzerinde X harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterY	Üzerinde Y harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterZ	Üzerinde Z harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.


buildtoolbar_popup_mat_pipewall	Temellerin üstüne Borulu Duvarlar inşa ederek yeni alanlar veya odalar yap.
buildtoolbar_popup_mat_derelictwall	Yaşanmışlık dolu bir görüntü için ucuz Metruk Duvarlar inşa et.
buildtoolbar_popup_mat_overgrownwall	Ucuz Bitki Kaplı Duvarlar inşa et. Çünkü yaşam, hapishanede bile yeşermenin yolunu bulur...
buildtoolbar_popup_mat_rustywall	Kıyamet sonrası bir görünüm için ucuz Paslı Duvarlar inşa et.
buildtoolbar_popup_mat_slumwall	Mahkumların barınmasından kıstığın parayla kendi ofisini genişletmek için ucuz Gecekondu Duvarları inşa et.
buildtoolbar_popup_mat_bambooFence	Askeri kamp havası veren insan yapımı bambu bir çit.
buildtoolbar_popup_mat_RunningTrack	Mahkumlarınının Avlu'da koşu yapması için ideal.
buildtoolbar_popup_mat_BambooFloor	Askeri kamp havası veren insan yapımı bambu bir zemin.
buildtoolbar_popup_mat_DecayedWall	Temellerin üstüne çürük briketten ucuz duvarlar inşa et.
buildtoolbar_popup_mat_flowerfield	Güzel çiçeklerin yetiştiği çimenlik bir alan.
buildtoolbar_popup_mat_fenceandgrass	Altında toprak yerine çimen olan çit bölümleri.
buildtoolbar_popup_mat_WallMinSec	Hapishanenin güvenlik bölgelerini ayırt etmek için renkli duvarlar yap.
buildtoolbar_popup_mat_WallMedSec	Hapishanenin güvenlik bölgelerini ayırt etmek için renkli duvarlar yap.
buildtoolbar_popup_mat_WallMaxSec	Hapishanenin güvenlik bölgelerini ayırt etmek için renkli duvarlar yap.
buildtoolbar_popup_mat_WallInsaneSec	Hapishanenin güvenlik bölgelerini ayırt etmek için renkli duvarlar yap.
buildtoolbar_popup_mat_WallProtective	Hapishanenin güvenlik bölgelerini ayırt etmek için renkli duvarlar yap.
buildtoolbar_popup_mat_CliffEdge	Hapishanenin ya da adanın çevresinde yüksek bölümler ve geçilmez alanlar oluşturmak için uçurumlar inşa et.

interfaceoverlay_signs	Tabelalar
interfacemode_walls	Duvarlar
interfacemode_doors	Kapılar
interface_action_snackbought	Atıştırmalık Alındı

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors	TÜM Bölümler
crisisSector_StopAll	HEPSİNİ Durdur
crisisSector_SharedOnly	Sadece Ortak
crisisSector_MinSecOnly	Sadece Min Güv
crisisSector_MedSecOnly	Sadece Orta Güv
crisisSector_MaxSecOnly	Sadece Maks Güv
crisisSector_InsaneOnly	Sadece Cezai Ehliyeti Olmayanlar
crisisSector_ProtectedOnly	Sadece Korumalılar
crisisSector_SuperMaxOnly	Sadece SüperMaks
crisisSector_DeathRowOnly	Sadece Ölüm Hücresi

crisisToolbarTitle_WeaponsFree	ATIŞ SERBEST
crisisToolbarTitle_TunnelSearch	TÜNEL ARAMASI
crisisToolbarTitle_Shakedown	HÜCRE ARAMASI
crisisToolbarTitle_Lockdown	TECRİT
crisisToolbarTitle_Bangup	HÜCREYE TIK
crisisToolbarTitle_RollCall	YOKLAMA
crisisToolbarQuestion	- Hangi bölümler seçilsin?

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message	Bu özel bölüme hangi güvenlik seviyelerinin girebileceğini seç.
customsectorwindow_minseccaption	Min Güv
customsectorwindow_medseccaption	Ort Güv
customsectorwindow_maxseccaption	Maks Güv
customsectorwindow_supermaxcaption	SüperMaks
customsectorwindow_deathrowcaption	Ölüm Hücresi
customsectorwindow_protectivecaption	Korumalı Gözaltı
customsectorwindow_insanecaption	Suç İşleyebilen Deli

customSector_title	Özel Güvenlik Bölümü
customSector_subtitle	Bu güvenlik bölümüne şunlar girebilir:

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging	Bu odayı yükseltirsen bu Güvenlik Bölgesinin derecesi de artacak.
roomGrading_prisonerTransfer	Yükseltmeler sadece "Transfer İzni" DLC'si yüklenmiş ve Harita Ayarları menüsünden "Mahkum Transferleri" seçeneği açılmış olan mahkumları motive eder.

roomgrading_Cell_BadWalls	[*E] Bunaltıcı duvarlarla çevrili
roomgrading_Cell_OutsideWindow_Large	[*E]*Y Büyük Pencere
roomgrading_Cell_HasWindow_None	[*E] Penceresiz
roomgrading_Dormitory_BadWalls	[*E] Bunaltıcı duvarlarla çevrili
roomgrading_Dormitory_Mattress	[*E] Yatakların çoğu kalitesiz
roomgrading_Dormitory_HasWindow_None	[*E] Penceresiz
roomgrading_Canteen_RoomSize	[*E] Oda boyutu en az *X Kare
roomgrading_Canteen_Item	[*E] Nesne: *X
roomgrading_Canteen_MealQuality	[*E] ORTALAMA Yemek Kalitesi
roomgrading_Canteen_MealQuality_High	[*E] YÜKSEK Yemek Kalitesi
roomgrading_Canteen_MealQuality_Low	[*E] DÜŞÜK Yemek Kalitesi
roomgrading_Canteen_MealQuality_None	[*E] Yemek Kalitesi YOK
roomgrading_Canteen_MealVariety	[*E] ORTALAMA Yemek Çeşitliliği
roomgrading_Canteen_MealVariety_High	[*E] YÜKSEK Yemek Çeşitliliği
roomgrading_Canteen_MealVariety_Low	[*E] DÜŞÜK Yemek Çeşitliliği
roomgrading_Canteen_MealVariety_None	[*E] Yemek Çeşitliliği YOK
roomgrading_Canteen_HasWindow_None	[*E] Penceresiz
roomgrading_Yard_RoomSize	[*E] Oda boyutu en az *X Kare
roomgrading_Yard_RoomSizeLess	[*E] Oda boyutu *X ya da daha az Kare
roomgrading_Yard_Item	[*E] Nesne: *X
roomgrading_Yard_Floor	[*E] *X Zemin (%*Y üstünde)
roomgrading_Yard_MultiItems	[*E] Yukarıdaki nesnelerin *X tanesini içerir
roomgrading_Yard_Floor_Quantity	[*E] *X *Y Kare
roomgrading_CommonRoom_RoomSize	[*E] Oda boyutu en az *X Kare
roomgrading_CommonRoom_Item	[*E] Nesne: *X
roomgrading_Gymnasium_RoomSize	[*E] Oda boyutu en az *X Kare
roomgrading_Gymnasium_OutsideWindow	[*E] *Y Dış Pencere
roomgrading_Gymnasium_Item	[*E] Nesne: *X
roomgrading_Gymnasium_HasWindow_None	[*E] Penceresiz
roomgrading_Classroom_RoomSize	[*E] Oda boyutu en az *X Kare
roomgrading_Classroom_Item	[*E] Nesne: *X
roomgrading_Classroom_OutsideWindow	[*E] *Y Dış Pencere

buildtoolbar_improvement	- *R derecesini ARTTIRIR
buildtoolbar_decreased	- *R derecesini AZALTIR
buildtoolbar_improvement_windows	(dışarıya dönükken)

buildtoolbar_planning_autofoundation	Otomatik Temel

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	Min Güv Derecelendirme
interfaceLogistics_MedSecGrading	Orta Güv Derece
interfaceLogistics_MaxSecGrading	Maks Güv Derece
interfaceLogistics_SuperMaxGrading	SüperMaks Derece

sectorGrading_title	*X Bölümü
sectorGrading_housed	*Y bölümünde *X mahkum kalıyor
sectorGrading_desiresTransfer	*X *Y mahkum *Z bölümüne geçirilmeyi umuyor

sectorGrading_description	Bu bölümün derece açıklaması aşağıda. Ne kadar çok ayrıcalık eklenirse derece o kadar yükselir. En yüksek derece 250.
sectorGrading_encouragement	Bu bölümle *X arasındaki derece farkı ne kadar artarsa, *X mahkumları daha düşük güvenlikli bölüme transfer edilmek için o kadar düzelmeye ve düzgün davranmaya heveslenecektir.
sectorGrading_discouragement	Ayrıca *X adlı mahkumun ayrıcalıklarını kaldırarak da bu bölümün derecesini düşürebilirsin. Ama bu şekilde mahkumları öfkelendirebilirsin.

sectorGrading_transferNote	(NOT: Transferler sadece "Transfer İzni" DLC'si yüklenmiş ve Harita Ayarları menüsünden "Mahkum Transferleri" seçeneği açılmış olan mahkumları motive eder.)

sectorGrading_privilegesTitle	Mahkum Ayrıcalıkları
sectorGrading_visitation	[+*X] Görüş
sectorGrading_mail	[+*X] Posta
sectorGrading_work	[+*X] İşe erişim (nakit)
sectorGrading_education	[+*X] Eğitime / Programlara erişim
sectorGrading_meals	[+*X] Günde 2+ öğün yemek
sectorGrading_freeTime	[+*X] Bol Serbest Zaman (20%)
sectorGrading_extraFreeTime	[+*X] Fazladan Serbest Zaman (30%)
sectorGrading_yard	[+*X] Avluya erişim
sectorGrading_gym	[+*X] Spor salonuna erişim
sectorGrading_shop	[+*X] Mağazaya erişim
sectorGrading_commonRoom	[+*X] Ortak Oda'ya erişim
sectorGrading_showers	[+*X] Sıcak duş
sectorGrading_sleep	[+*X] 10 saat ya da daha fazla uyku

sectorGrading_facilitiesTitle	Olanaklar
sectorGrading_room	[*X/*Y] *R Kalite (Ort)

sectorGrading_conditionsTitle	Durumlar
sectorGrading_suppresion	[*X/15] *Y Baskılama
sectorGrading_risk	[*X/20] *Y Risk (ölüm ve yaralanma)
sectorGrading_cleanliness	[*X/15] *Y Temizlik

sectorGrading_grade	Derece *X/250
dialog_veryLow	Çok Düşük

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	Çeşitli

report_needs_staffBreaks	Tüm türlerde aynı anda molada olabilecek maksimum personel yüzdesi bu.
reports_privilegetitle	Ayrıcalık Politikası
reports_misconducttitle	Kötü Davranış Politikası
reports_paroletitle	Şartlı Tahliye Kapanış Politikası
reports_parole_info	Kapanış Tarihini Ayarla:
reports_parole_Cutoff	(%*P)
reports_policy_PrivilegeTableTitle	Ayrıcalık
reports_policy_Visitation	Görüş
reports_policy_Mail	Posta
reports_policy_PrisonLabour	Hapishane İşçiliği
reports_policy_All	Tümü
reports_policy_Programs	Programlar
reports_policy_WorkPrograms	İş
reports_policy_EducationPrograms	Eğitim
reports_policy_WellnessPrograms	Refah

reports_policy_defaults	Önerilen
reports_policy_tooltip_recomended	Seçilen tüm güvenlik seviyelerinde *X için önerilen değerleri ayarlar.
reports_policy_tooltip_all	Tüm hapishane güvenlik seviyelerini seçer/seçimi kaldırır

reports_privilegesPolicy_tooltip_all	Şartlı Tahliye Duruşması, Ölüm Hücresi, Temyiz ve Psikiyatrik Danışmanlık dışında tüm programları değiştirir.
reports_privilegesPolicy_tooltip	Bu programlara hangi Güvenlik Sektörlerinin katılabileceğini seç:
reports_privilegesPolicy_tooltip_EducationPrograms	\n-Temel Eğitim \n-Genel Eğitim
reports_privilegesPolicy_tooltip_WellnessPrograms	\n-Davranış Tedavisi \n-Alkolikler Grubu Terapisi \n-Ruhani Rehberlik
reports_privilegesPolicy_tooltip_WorkPrograms	\n-Mutfak Güvenliği ve Hijyeni \n-Atölye Güvenliğe Giriş \n-Marangoz Çıraklığı

report_policy_categoryTooltip_Minsec	Minimum Güvenlik
report_policy_categoryTooltip_Normal	Orta Güvenlik
report_policy_categoryTooltip_MaxSec	Maksimum Güvenlik
report_policy_categoryTooltip_Protected	Korumalı Gözaltı
report_policy_categoryTooltip_SuperMax	SüperMaks
report_policy_categoryTooltip_DeathRow	Ölüm Hücresi
report_policy_categoryTooltip_Insane	Suç İşleyebilen Deli

report_policy_misconductConflict_tooltip	Farklı politika değerleri olan birden fazla güvenlik türü seç. Kötü Davranış politikalarını görmek için mahkum kategorilerini seç.

report_policy_match	Şununla eşleştir:

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	Aşçı Ata
interfacedeployment_Doctor	Doktor Ata

buildtoolbar_deployment_Chef	Hapishanenin bölgelerine Aşçı ata.
buildtoolbar_deployment_Doctor	Hapishanenin bölgelerine Doktor ata.
buildtoolbar_deployment_PrioritizeJanitor	Atadığın Hademelerin, hapishanenin belirli alanlarında çalışmaya öncelik vermesi için bu seçeneği kullan. Personelin yetersizse, Hademeler ilk olarak öncelik verdiğin alanlarda çalışacaktır. Bir alanı önceliklendirmek için oraya 1, 2 ya da 3 Hademe ata.
buildtoolbar_deployment_PrioritizeGardener	Atadığın Bahçıvanların, hapishanenin belirli alanlarında çalışmaya öncelik vermesi için bu seçeneği kullan. Personelin yetersizse, Bahçıvanlar ilk olarak öncelik verdiğin alanlarda çalışacaktır. Bir alanı önceliklendirmek için oraya 1, 2 ya da 3 Bahçıvan ata.

researchtooltip_deployment2	Yerleştirme menüsünden bu personel üyelerini hapishanenin belirli bölgelerine atayabilirsin.
researchtooltip_prioritize	Yerleştirme menüsünden bu personel üyelerini hapishanenin belirli bölgelerinde önceliklendirebilirsin.

interfacetopbar_tooltip_totalChefs	Toplam *X aşçı
interfacetopbar_tooltip_totalDoctors	Toplam *X doktor
interfacetopbar_tooltip_cook	Hapishanende çalışmak için hazır kaç tane aşçı olduğu.
interfacetopbar_tooltip_doctor	Hapishanende çalışmak için hazır kaç tane doktor olduğu.

interfacetopbar_tooltip_priorityStationed	*X öncelikli iş

interfacetopbar_tooltip_totalJanitors	Toplam *X hademe
interfacetopbar_tooltip_totalGardeners	Toplam *X bahçıvan
interfacetopbar_tooltip_janitor	Hapishanende çalışmak için hazır kaç tane hademe olduğu.
interfacetopbar_tooltip_gardener	Hapishanende çalışmak için hazır kaç tane bahçıvan olduğu.

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X Mahkum *C derecesine transfer olmak için *W:
reports_prisoners_transfer_ready	hazır
reports_prisoners_transfer_wanting	istekli
reports_prisoners_transfer_button	HEPSİNİ ONAYLA
reports_prsioners_transfer_numCells	(*X Hücre Müsait)

reports_transfers_offMessage	Mahkum transferleri Harita Ayarları menüsünden açılabilir.
report_Transfer	Transferler

transfer_icon_tooltip	*X mahkumun *Y bölümüne transfer edilmesi için uymaları gereken kriterleri aşağıdaki seçenekleri kullanarak belirle. \nMahkumların transfer olmasını daha zor kılmak için Politika Kriterleri sütununu, bazı mahkum türlerini derhal diskalifiye etmek için diğer seçenekleri kullanabilirsin. \nTransfer olmak tüm mahkumların ilgisini çekmez. Özellikle kısa cezaları olanlar, tünel kazarak kaçmak isteyenler ya da kendi Güvenlik Bölümlerinden daha düşük güvenlikli bölümün koşullarının ve konforunun o kadar da iyi olmadığını düşünenler transferle ilgilenmez.
transfer_tooltip_onOff	Seçili Güvenlik Bölümlerinde AÇMAK/KAPAMAK için işaretle/işaretini kaldır.

transfer_description	Mahkumların daha düşük güvenlikli ve daha konforlu bir bölüme transfer olmak için uymaları gereken kriterleri ayarla.
transfer_use	*X Bölümünden *Y Bölümüne transfer olma kriterleri
transfer_behaviourtitle	İyi Davranışlar
transfer_reformtile	Islah Olma
transfer_requiredtitle	Gereken
transfer_qualifiedcaption	Şu anda koşullara uyan toplam mahkum
transfer_hopingcaption	Koşullara uyma motivasyonu olan toplam mahkum
transfer_numPrisoners	*X Mahkum (%*Y)

transfer_title	Transfer Politikaları
transfer_criteria	Politika Kriterleri
transfer_qualifying	Kritere Uyan Mahkumlar

transfer_behaviour_staffAssaults	Personele saldırmamış olmak
transfer_behaviour_murders	Cinayet işlememiş olmak
transfer_behaviour_murdersStuff	(personel ve diğer mahkumlar)
transfer_behaviour_escapeAttempts	Firar girişimi olmamak
transfer_behaviour_contraband	Tehlikeli kaçak malı olmamak
transfer_behaviour_gangMembers	Çete üyeleri diskalifiye olur
transfer_behaviour_previousCrimes	Diskalifiye eden geçmiş suçlar:

transfer_behaviour_tooltip_staffAssaults	Transfer olmak isteyen mahkumlar belirtilen sayıda gün boyunca herhangi bir personele saldırmamalıdır. Gün sayısının artması, düzenli olarak şiddet gösteren mahkumları diskalifiye eder.
transfer_behaviour_tooltip_murders	Transfer olmak isteyen mahkumlar belirtilen sayıda gün boyunca mahkum ya da personel öldürmemelidir. Gün sayısının artması, düzenli olarak şiddet gösteren mahkumları diskalifiye eder.
transfer_behaviour_tooltip_escapeAttempts	Transfer olmak isteyen mahkumlar belirtilen sayıda gün boyunca firar girişiminde bulunmamalıdır.
