# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lijst van wijzigingen
sectorGrading_commonRoom	[+*X] Toegang tot gemeenschapsruimte
sectorGrading_showers	[+*X] Warme douche
sectorGrading_sleep	[+*X] Minstens 10 uur slaap

sectorGrading_facilitiesTitle	Faciliteiten
sectorGrading_room	[*X/*Y] *R kwaliteit (gem.)

sectorGrading_conditionsTitle	Toestand
sectorGrading_suppresion	[*X/15] *Y onderdrukking
sectorGrading_risk	[*X/20] *Y risico (sterfgevallen en verwondingen)
sectorGrading_cleanliness	[*X/15] *Y hygiëne

sectorGrading_grade	Cijfer *X/250
dialog_veryLow	Zeer laag

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	Divers

report_needs_staffBreaks	Dit is het maximale percentage personeel dat tegelijk pauze kan hebben.
reports_privilegetitle	Privilegebeleid
reports_misconducttitle	Wangedragsbeleid
reports_paroletitle	Beleid afkeuring vervroegde vrijlating
reports_parole_info	Afkeuring aanpassen:
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	Privilege
reports_policy_Visitation	Bezoek
reports_policy_Mail	Post
reports_policy_PrisonLabour	Gevangenisarbeid
reports_policy_All	Alles
reports_policy_Programs	Programma's
reports_policy_WorkPrograms	Werk
reports_policy_EducationPrograms	Onderwijs
reports_policy_WellnessPrograms	Welzijn

reports_policy_defaults	Aanbevolen
reports_policy_tooltip_recomended	Stelt de *X in op de aanbevolen waarden voor alle geselecteerde beveiligingsniveaus.
reports_policy_tooltip_all	Selecteert/deselecteert alle beveiligingsniveaus

reports_privilegesPolicy_tooltip_all	Verandert alle programma's, behalve voorwaardelijke hoorzittingen, appels tegen doodstraffen en psychiatrische consultaties.
reports_privilegesPolicy_tooltip	Kies welke beveiligingssectoren deel kunnen nemen aan deze programma's:
reports_privilegesPolicy_tooltip_EducationPrograms	\n-Basisonderwijs \n-Algemeen onderwijs
reports_privilegesPolicy_tooltip_WellnessPrograms	\n-Gedragstherapie \n-Groepstherapie voor alcoholisten \n-Spirituele begeleiding
reports_privilegesPolicy_tooltip_WorkPrograms	\n-Keukenveiligheid en -hygiëne \n-Veiligheidsinductie in de werkplaats \n-Houtbewerkingsstage

report_policy_categoryTooltip_Minsec	Minimale beveiliging
report_policy_categoryTooltip_Normal	Normale beveiliging
report_policy_categoryTooltip_MaxSec	Maximale beveiliging
report_policy_categoryTooltip_Protected	In afzondering
report_policy_categoryTooltip_SuperMax	SuperMax
report_policy_categoryTooltip_DeathRow	Dodencel
report_policy_categoryTooltip_Insane	Gestoorde criminelen

report_policy_misconductConflict_tooltip	Meerdere beveiligingstypes zijn geselecteerd met verschillende beleidsvoeringen. Selecteer individuele gevangenecategorieën om hun wangedragsbeleid te zien.

report_policy_match	Matchen met:

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	Koks toewijzen
interfacedeployment_Doctor	Artsen toewijzen

buildtoolbar_deployment_Chef	Wijs koks toe aan sectoren in je gevangenis.
buildtoolbar_deployment_Doctor	Wijs artsen toe aan sectoren in je gevangenis.
buildtoolbar_deployment_PrioritizeJanitor	Gebruik deze optie om te zorgen dat conciërges prioriteit geven aan bepaalde gebieden in je gevangenis. Als je personeel tekortkomt, zullen conciërges je prioriteitsgebieden eerst behandelen. Je kunt 1, 2 of 3 conciërges toewijzen aan een prioriteitsgebied.
buildtoolbar_deployment_PrioritizeGardener	Gebruik deze optie om te zorgen dat tuinmannen prioriteit geven aan bepaalde gebieden in je gevangenis. Als je personeel tekort komt, zullen tuinmannen je prioriteitsgebieden eerst behandelen. Je kunt 1, 2 of 3 tuinmannen toewijzen aan een prioriteitsgebied.

researchtooltip_deployment2	Je kunt deze personeelsleden toewijzen aan bepaalde sectoren van de gevangenis via het werkmenu.
researchtooltip_prioritize	Je kunt deze personeelsleden bepaalde sectoren van de gevangenis prioriteit laten geven via het werkmenu.

interfacetopbar_tooltip_totalChefs	Totaal aantal koks: *X
interfacetopbar_tooltip_totalDoctors	Totaal aantal artsen: *X
interfacetopbar_tooltip_cook	Het aantal koks dat in je gevangenis werkt.
interfacetopbar_tooltip_doctor	Het aantal artsen dat in je gevangenis werkt.

interfacetopbar_tooltip_priorityStationed	Prioriteittaken: *X

interfacetopbar_tooltip_totalJanitors	Totaal aantal conciërges: *X
interfacetopbar_tooltip_totalGardeners	Totaal aantal tuinmannen: *X
interfacetopbar_tooltip_janitor	Het aantal conciërges dat in je gevangenis werkt.
interfacetopbar_tooltip_gardener	Het aantal tuinmannen dat in je gevangenis werkt.

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X Gevangenen die *W zijn om te verplaatsen naar *C:
reports_prisoners_transfer_ready	klaar
reports_prisoners_transfer_wanting	bereid
reports_prisoners_transfer_button	ALLES GOEDKEUREN
reports_prsioners_transfer_numCells	(*X cellen beschikbaar)

reports_transfers_offMessage	Overplaatsingen van gevangenen kunnen ingeschakeld worden in de kaartinstellingen.
report_Transfer	Overplaatsingen

transfer_icon_tooltip	Gebruik de onderstaande opties om de criteria te bepalen waar *X gevangenen aan moeten voldoen om overgeplaatst te worden naar *Y. \nJe kunt de kolom beleidscriteria gebruiken om het moeilijker te maken voor gevangenen om overgeplaatst te worden, en andere opties om bepaalde soorten gevangenen direct uit te sluiten. \nNiet alle gevangenen willen overgeplaatst worden. Vooral degenen die korte straffen hebben, van plan zijn een tunnel te graven, of als ze gewoon denken dat de toestand of het comfort in de beveiligingssector onder die van hen niet heel veel beter zijn.
transfer_tooltip_onOff	Vink af om UIT/AAN te zetten voor de geselecteerde beveiligingssector(en).

transfer_description	Stel de criteria in waar gevangenen aan moeten voldoen om overgeplaatst te worden naar een lagere en meer comfortabele beveiligingssector.
transfer_use	Criteria voor overplaatsing van *X naar *Y
transfer_behaviourtitle	Goed gedrag
transfer_reformtile	Hervormen
transfer_requiredtitle	Vereist
transfer_qualifiedcaption	Totaal aantal gevangenen dat nu in aanmerking komt
transfer_hopingcaption	Totaal aantal gevangenen dat in aanmerking wil komen
transfer_numPrisoners	*X gevangenen (*Y%)

transfer_title	Overplaatsingsbeleid
transfer_criteria	Beleidscriteria
transfer_qualifying	Gekwalificeerde gevangenen

transfer_behaviour_staffAssaults	Geen aanvallen op personeel
transfer_behaviour_murders	Geen moorden
transfer_behaviour_murdersStuff	(personeel en gevangenen)
transfer_behaviour_escapeAttempts	Geen ontsnappingspogingen
transfer_behaviour_contraband	Geen gevaarlijke smokkelwaar
transfer_behaviour_gangMembers	Bendeleden gediskwalificeerd
transfer_behaviour_previousCrimes	Diskwalificaties eerdere misdaden:

transfer_behaviour_tooltip_staffAssaults	Gevangenen die in aanmerking komen voor overplaatsing mogen geen personeel hebben aangevallen voor het aangegeven aantal dagen. Een hoger aantal dagen diskwalificeert gevangenen die regelmatig geweld plegen.
transfer_behaviour_tooltip_murders	Gevangenen die in aanmerking komen voor overplaatsing mogen geen personeel of gevangenen hebben vermoord voor het aangegeven aantal dagen. Een hoger aantal dagen diskwalificeert de gevaarlijkste gevangenen.
transfer_behaviour_tooltip_escapeAttempts	Gevangenen die in aanmerking komen voor overplaatsing mogen niet gepakt zijn bij een ontsnappingspoging voor het aangegeven aantal dagen.
transfer_behaviour_tooltip_contraband	Gevangenen die in aanmerking komen voor overplaatsing mogen niet gepakt zijn met wapens of hulpmiddelen voor het aangegeven aantal dagen.
transfer_behaviour_tooltip_gangMembers	Kies ervoor om ALLE bendeleden uit te sluiten van overplaatsing, of alleen bepaalde rangen binnen een bende.
transfer_behaviour_tooltip_previousCrimes	Kies ervoor om gevangenen die bepaalde misdaden hebben gepleegd via de onderstaande misdaadgroepsopties uit te sluiten van overplaatsing.

transfer_reform_tooltip_reoffending	Gevangenen die in aanmerking komen voor overplaatsing mogen geen hoger percentage hebben dan aangegeven om te recidiveren. Met een lager getal zorg je ervoor dat alleen je braafste en meest hervormde gevangenen in aanmerking komen.
transfer_reform_tooltip_programsPassed	Gevangenen die in aanmerking komen voor overplaatsing moeten een aangegeven aantal programma's voltooien. Met een hoger aantal sluit je gevangenen uit die zich niet bereid hebben getoond om zich te hervormen.

transfer_required_tooltip	Pas deze waarde aan om aan te geven of gevangenen moeten voldoen aan AL je aangevinkte criteria voor overplaatsing of minder.

transfer_tooltip_uncheck	\nVink af om deze voorwaarde voor overplaatsing te verwijderen.


transfer_reform_reoffending	% geschatte recidivecijfer
transfer_reform_programsPassed	Programma's voltooid

transfer_required	Bovenstaande criteria waaraan voldaan moet worden

transfer_criteriaTime	*X dag(en)

gangNone	Geen
gang_transfer_None	Geen
gang_transfer_Soldier	Alles
gang_transfer_Lieutenant	Luitenant, leider
gang_transfer_Leader	Leider

report_prisoner_approve	Goedkeuren
report_prisoner_approveAll	Keur alle gevangenen goed die voldoen aan je criteria voor overplaatsing naar *X. Het aantal gevangenen dat wordt overgeplaatst hangt af van het aantal beschikbare cellen.

approveTransfer_title	Overplaatsing goedkeuren
approveTransfer_message	Keur de overplaatsing goed van gevangene *F *S naar *C
approveAllTransfer_message	Keur alle gekwalificeerde gevangenen goed voor overplaatsing naar *C
approveAllTransfer_someMessage	Er zijn maar *X cellen vrij in *C. Wil je *X gevangenen overplaatsen naar *C?
approveTransfer_noFreeCells	Er zijn geen cellen vrij voor de gevangenen die in aanmerking komen voor overplaatsing.

dialog_group	Groep

transfer_pastCrimes_tooltip	Sluit gevangenen uit die misdaden uit groep *X op hun strafblad hebben, waaronder:
transfer_criteria_met	*X/*Y

# =============================================================================
# Actions
# =============================================================================

action_RunTreadmill	Gebruikt loopband
action_PunchingBag	Gebruikt bokszak
action_Boxing	Gebruikt boksring

# =============================================================================
# Codex
# =============================================================================

codex_tooltip_escapeplans	Geeft gevangenen meer mogelijkheden om te ontsnappen. Ze zullen nu over je muren proberen te klimmen als ze willen ontsnappen.
codex_options_shadowcaption	Schaduwen aan/uit
codex_options_punishmentscaption	Doorzoeken en acties per sector

codex_option_prisonerTransfer	Overplaatsingen van gevangenen
codex_tooltip_prisonerTransfer	Bij Overplaatsingen van gevangenen kun je criteria instellen waaraan gevangenen moeten voldoen om overgeplaatst te worden naar een fijnere beveiligingssector in je gevangenis die meer comfort, faciliteiten en andere privileges kan bevatten. \n\nGevangenen kijken nu naar de condities van hun huidige sector en de sector onder hen, en bepalen dan of ze overgeplaatst willen worden. In dat geval bepalen ze of ze hun gedrag willen verbeteren en voldoen aan je overplaatsingsbeleid op basis van hun eigen behoeften en eigenschappen.\n\nElke sector heeft een cijfer op basis van de privileges en faciliteiten die je gevangenen aanbiedt in die sector. Hoe groter het verschil tussen hun sector en die daaronder, hoe meer gevangenen overgeplaatst willen worden.\n\nAls een gevangene voldoet aan je criteria voor overplaatsing, is het nog steeds aan jou of en wanneer je ze wilt overplaatsen.

# =============================================================================
# Miscelanious
# =============================================================================

action_Stretching	Traint
action_PlayChess	Speelt schaak
action_EatSnack	Haalt een snack

report_staff_multidelete	Klik met de linkermuisknop om een enkel personeelslid te ontslaan, of hou de knop ingedrukt en sleep om meerdere personeelsleden te ontslaan

codex_language_unsupported	---WORDT NIET MEER GEÜPDATET
codex_language_mod	---TAALMODS VAN DE COMMUNITY

codex_language_unsupportedString	Deze taal wordt niet officieel ondersteund. Mogelijk ontbreken sommige vertalingen.

report_policy_privilegesUnchangableTooltip	Dit beveiligingsniveau heeft zijn Privilegebeleid vergrendeld.
transfer_review	Overplaatsingen bekijken
reports_prisoners_transfer_otherPrisoners	*X Andere gevangenen
approveTransfer_noFreeCells	Er zijn geen lege cellen beschikbaar om de gevangenen naar over te plaatsen. Leg voor dit beveiligingsniveau meer cellen aan om overplaatsing goed te keuren.
prisoner_roomquality_veryLow	Erg laag
prisoner_roomquality_low	Laag
prisoner_roomquality_high	Hoog
prisoner_roomquality_veryHigh	Erg hoog
prisoner_roomquality_supreme	Superieur
report_policy_matchTitle	Gelijke beveiligingssectoren
report_policy_match_tooltip	Maak het *X Wangedragsbeleid gelijk aan dat van een andere beveiligingssector.
report_intake_cat_PrisonerTransfer	Legendarische gevangene!

object_barbedwire	Prikkeldraad
object_roadbarrier	Wegversperring
buildtoolbar_popup_obj_roadbarrier	Een robuuste wegversperring die zelfs hard rijdende vrachtwagens kan stoppen. Sluit alleen tijdens Opsluiting.

buildtoolbar_popup_help_Orderly_1	Verplegers zijn speciaal opgeleid om psychiatrisch gestoorde gevangenen te begeleiden. \n
buildtoolbar_popup_help_Orderly_2	Ze bezitten vaardigheden die lijken op die van bewakers en artsen, maar ze hebben geen onderdrukkend effect op gevangenen (zoals gewone bewakers). \n\n
buildtoolbar_popup_help_Orderly_3	Huur verplegers in om je psychiatrisch gestoorde gevangenen te verzorgen. Verplegers zullen:
buildtoolbar_popup_help_Orderly_4	-Assisteren met de toestroom van psychiatrisch gestoorde gevangenen.
buildtoolbar_popup_help_Orderly_5	-Psychiatrisch gestoorde gevangenen begeleiden naar psychiatrische gesprekssessies (programma's).
buildtoolbar_popup_help_Orderly_6	-Gewonde psychiatrisch gestoorde gevangenen genezen.
buildtoolbar_popup_help_Orderly_7	-psychiatrisch gestoorde gevangenen kalmeren als ze gewelddadig worden.
buildtoolbar_popup_help_Orderly_8	-psychiatrisch gestoorde gevangenen een dwangbuis aantrekken voor de nacht.

buildtoolbar_popup_help_Psychiatrist_1	Psychiaters hebben regelmatig één-op-één gesprekken met psychiatrisch gestoorde gevangenen.\n\n
buildtoolbar_popup_help_Psychiatrist_2	Ieder van hen heeft een speciale psychiater-spreekkamer nodig.
buildtoolbar_popup_help_Psychiatrist_3	Er kunnen psychiatrische gesprekssessies (programma's) worden opgezet zodat psychiaters psychiatrisch gestoorde gevangenen kunnen behandelen.
buildtoolbar_popup_help_Psychiatrist_4	De psychiater-spreekkamer kan ook worden verbeterd met nieuwe voorwerpen, zodat de behandeling door de psychiater beter wordt.

rapsheet_action	Acties
codex_settings_escapeplans	Ontsnappingsplannen inschakelen

############################### Sea and Air Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_WoodenDockFloor	Aanlegplaats (hout)
material_waterBed	Waterbed
material_WaterShallow	Water (ondiep)
material_WaterLarge	Water (groot)
material_WaterWalkable	Water (beloopbaar)

# =============================================================================
# Objects - Names
# =============================================================================

object_FerryDock	Veerbootaanlegplaats
object_FerryBoat	Veerboot
object_SupplyBoat	Bevoorradingsschip
object_PrisonBoat	Gevangenisboot
object_VisitorBoat	Bezoekersboot
object_VisitorHeli	Bezoekershelikopter
object_SupplyHeli	Bevoorradingshelikopter
object_PrisonHeli	Gevangenishelikopter
object_FireHeli	Luchtbrandweer
object_EliteOpsHeli	Speciale eenheid-helikopter
object_SoldiersHeli	Nationale garde
object_HearseBoat	Lijkboot
object_HearseHeli	Lijkhelikopter
object_ParamedicsHeli	Traumahelikopter
object_Helipad	Helipad
object_BoatDock	Bootaanlegplaats
object_EliteOps	Speciale eenheid

object_Fountain	Fontein
object_SteppingStoneLillyPad	Stapstenen (lelieblad)
object_SteppingStoneIceBlock	Stapstenen (ijs)
object_SteppingStone	Stapstenen
object_SteppingStonePallet	Stapstenen (pallet)
object_ScannerMonitor	Scannermonitor
object_ScannerMachine	Scannermachine
