# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Journal intégral des changements
d11_utilitylimits_body	Les sources d'énergie verte (les panneaux solaires, les éoliennes et les hybrides solaire/éolien) et les sources d'énergie standard (centrales électriques et transformateurs) ont un plafond de 128 unités pour chaque type. Si vous souhaitez acheter d'autres sources d'énergie après avoir atteint ce plafond, vous devez d'abord vous débarrasser des sources d'énergie existantes pour ce type.

# =============================================================================
# Crops
# =============================================================================

d11_plant_crop	Planter la culture
d11_plant_crop_location	Planter la culture dans *X
d11_wiltedCrop	Culture fanée
d11_wiltedCropDesc	Cette culture n'a pas été arrosée pendant *X jours et ne peut plus être récupérée. Elle sera déplacée vers la poubelle la plus proche, qu'il s'agisse d'une poubelle standard comme déchet ou d'un bac à compost pour être transformée en engrais
d11_crop_time_to_yield	Temps de production *Xheures
d11_fertilized	Fertilisé
d11_tampered	Abîmé
d11_needsWater	Les cultures doivent être arrosées pour poursuivre leur croissance
d11_hover_compostbin	Déchets collectés

job_WaterCrop	Arrosage des cultures
job_HarvestCrop	Récolte des cultures
job_TendCrop	Entretien des cultures


d11_plant_flower	Planter des fleurs
d11_plant_flower_location	Planter des fleurs dans *X

job_WaterFlower	Arrosage des fleurs
job_TendFlower	Entretien des fleurs


d11_crop_stage_seedling	Semis
d11_crop_stage_sapling	Arbuste
d11_crop_stage_immature	Immature
d11_crop_stage_mature	Mature
d11_crop_stage_ripe	Mûr
d11_continuous_planting	Plantation continue

# =============================================================================
# Objectives
# =============================================================================

objective_grant_greenMachine	La machine verte
objective_grant_greenMachine_description	Il est temps que l'industrie pénitentiaire prenne le train de l'énergie verte, et achète des sources d'énergie verte pour lui donner une bonne image publique.
objective_grant_greenMachine_solar	Acheter et installer un Panneau solaire
objective_grant_greenMachine_wind	Acheter et installer une Éolienne
objective_grant_greenMachine_hybrid	Acheter et installer un Hybride solaire/éolien

objective_grant_ecoFriendly	Respecter la nature
objective_grant_ecoFriendly_description	Il est temps que nous examinions de près notre empreinte carbone. Ainsi, la banque vous récompensera pour avoir abandonné les centrales électriques classiques et utilisé des sources d'énergie vertes comme alternatives.
objective_grant_ecoFriendly_days	Utilisez uniquement des sources d'énergie verte pour alimenter votre prison, au lieu de centrales électriques, pendant cinq jours

objective_grant_givingSomethingBack	Donner en retour
objective_grant_givingSomethingBack_description	Vu l'abondante énergie que votre prison produit, la banque serait très heureuse si vous en partagiez une partie avec le réseau national/régional/local.
objective_grant_givingSomethingBack_sell	Revendre 2 500 unités d'énergie au réseau électrique

objective_grant_basicFarming	Agriculture de base
objective_grant_basicFarming_description	Les coûts et l'approvisionnement en nourriture deviennent une préoccupation nationale. Veuillez démontrer qu'un système alimentaire autosuffisant est viable dans une prison. Cela permettra, espérons-le, d'apaiser certaines de ces inquiétudes.
objective_grant_basicFarming_hire	Embauchez dans votre personnel un Agriculteur
objective_grant_basicFarming_veg	Construire correctement une salle fonctionnelle de Jardin potager.
objective_grant_basicFarming_fruit	Construire correctement une salle fonctionnelle de Verger.
objective_grant_basicFarming_farm	Construire correctement une salle fonctionnelle de Terre agricole.
objective_grant_basicFarming_plant	Plantez 5 cultures de n'importe quel type dans chaque pièce.

objective_grant_selfSustaining	Autosuffisance
objective_grant_selfSustaining_description	Il est temps de prouver pleinement que les prisons sont capables de devenir autosuffisantes. S'il vous plaît, vendez tout produit en surplus comme votre contribution à la résolution du problème de l'approvisionnement alimentaire.
objective_grant_selfSustaining_hire	Embauchez dans votre personnel 5 Agriculteurs
objective_grant_selfSustaining_buy	Achetez 10 engrais de compost.
objective_grant_selfSustaining_harvest	Récoltez 50 plantes agricoles, de toutes sortes
objective_grant_selfSustaining_sell	Vendre 50 cultures mûres, de toute sorte
objective_grant_selfSustaining_collect	Récoltez 5 graines de n'importe quel type à partir des récoltes.

objective_grant_AdvancedFarming	Agriculture avancée
objective_grant_AdvancedFarming_description	Il est temps de voir si les prisons sont capables de produire en masse des produits frais, qu'elles deviennent autosuffisantes mais aussi un fournisseur de base pour les autres établissements.
objective_grant_AdvancedFarming_research	Faites des recherches sur la tâche d'Administration agricole.
objective_grant_AdvancedFarming_assign	Affectez 10 prisonniers au travail dans une salle d'agriculture.
objective_grant_AdvancedFarming_buy	Achetez un T ou un Arroseur de cultures
objective_grant_AdvancedFarming_buy1	Achetez un Bac à compost
objective_grant_AdvancedFarming_produce	Produisez 10 Engrais de compost
objective_grant_AdvancedFarming_harvest	Récoltez 500 cultures mûres de n'importe quel type.

objective_grant_overProduction	Surproduction
objective_grant_overProduction_description	Comme la production de masse a fait ses preuves, veuillez remplir ces commandes de nourriture aussi souvent que possible, elles seront renouvelées tous les 5 jours.
objective_grant_overProduction_carrot	Vendre 50 ingrédients de carottes récoltés.
objective_grant_overProduction_potato	Vendre 50 ingrédients de patates récoltés.
objective_grant_overProduction_cabbage	Vendre 50 ingrédients de choux récoltés.
objective_grant_overProduction_tomato	Vendre 50 ingrédients de tomates récoltées.
objective_grant_overProduction_apple	Vendre 50 ingrédients de pommes récoltées.
objective_grant_overProduction_orange	Vendre 50 ingrédients d'oranges récoltées.
objective_grant_overProduction_peach	Vendre 50 ingrédients de pêches récoltées.
objective_grant_overProduction_banana	Vendre 50 ingrédients de bananes récoltées.

# ======================================================
# To Do List Information
# ======================================================

objective_GoingGreenInfo	Virage vert !
objective_GoingGreenInfo_child_1	Les principales caractéristiques du programme “Virage vert”  sont énumérées ci-dessous.

objective_HelpBasicFarming	Agriculture de base
objective_HelpBasicFarming_child_1	Salles d'agriculture
objective_HelpBasicFarming_child_1_Description	Il y a 4 nouvelles salles associées à l'agriculture : le jardin potager, la terre agricole, le verger et le garde-manger.\n\nLes trois premières pièces sont nécessaires pour la plantation de légumes, de céréales et d'arbres fruitiers respectivement, tandis que la salle du garde-manger est une chambre froide utilisée pour le stockage des cultures récoltées.\n\nChacune des trois principales salles d'agriculture doit être placée à l'extérieur et nécessitera une remise qui servira de source d'eau pour l'arrosage manuel des cultures et de lieu de stockage des semences et autres objets similaires.

objective_HelpBasicFarming_child_2	Planter des cultures
objective_HelpBasicFarming_child_2_Description	Pour planter des cultures, il faut d'abord créer des salles d'agriculture et engager des agriculteurs pour gérer les emplois liés à ces cultures. \n\nLes cultures ne peuvent être cultivées que dans leurs pièces spécifiques et ne peuvent pousser que sur les types de sols suivants : Terre, Boue, Herbe, Coin d'herbe ou Champ de fleurs.\n\nAprès leur cycle initial de croissance et de récolte, le remplacement de ces cultures peut être automatisé grâce à la politique de Plantation continue. \n\nSi vous souhaitez remplacer ces cultures par un autre type, veuillez vous assurer que cette politique a été désactivée.

objective_HelpBasicFarming_child_3	Caractéristiques des cultures
objective_HelpBasicFarming_child_3_Description	Chacun des trois principaux types de cultures a des caractéristiques différentes. Les céréales et les légumes n'ont qu'un seul rendement et doivent être replantés après chaque récolte, mais les arbres fruitiers produisent continuellement des fruits.\n\nLes trois types de cultures peuvent être vendus à l'exportation, mais seuls les fruits et légumes peuvent être utilisés pour les repas.

objective_HelpBasicFarming_child_4	Avantages des récoltes
objective_HelpBasicFarming_child_4_Description	Le principal avantage de l'utilisation d'ingrédients cultivés en prison à la place des ingrédients standards qui sont habituellement livrés, est l'effet qu'ils ont lorsqu'ils sont consommés.\n\nLes détenus qui mangent des ingrédients frais bénéficieront d'un effet plus important sur leur besoin de faim, tandis que d'autres besoins seront légèrement renforcés.\n\nLes détenus qui mangent un plat complet à base d'ingrédients frais auront également la possibilité d'obtenir le nouveau statut “sain”, qui a un effet similaire à celui des détenus qui suivent des séances de thérapie contre l'alcoolisme et la toxicomanie.

objective_HelpBasicFarming_child_5	Stockage d'ingrédients
objective_HelpBasicFarming_child_5_Description	Contrairement aux ingrédients standards, les cultures cultivées dans la prison n'ont pas de conservateurs pour les empêcher de se déteriorer. \n\nAinsi, après la récolte, les cultures devront être déplacées soit vers un objet réfrigéré, soit vers le garde-manger, qui est toujours réfrigéré.\n\nDans le cas contraire, ils expirent en trois jours et leurs effets à la consommation ainsi que leur prix à l'exportation sont réduits.

objective_HelpAdvancedFarming	Agriculture avancée
objective_HelpAdvancedFarming_child_1	Recherche Agricole
objective_HelpAdvancedFarming_child_1_Description	Tous les éléments liés à l'agriculture ne seront pas disponibles dès le début d'une nouvelle partie. \nLa tâche de recherche de Bureaucratie “Agriculture” doit d'abord être achevée pour avoir accès à tout :\n- Plus de récoltes\n- L'option logistique de distribution des cultures\n- Engrais de compost, Engrais de haute qualité et Corbeille à compost\n- Travail carcéral \n- Arrosage, moisson et ramassage automatique

objective_HelpAdvancedFarming_child_2	Distribution des récoltes
objective_HelpAdvancedFarming_child_2_Description	Cette nouvelle option logistique permet aux joueurs de choisir le lieu de déplacement des cultures après leur récolte, et le ratio de cette distribution. \n\nLes joueurs peuvent également choisir les liens entre les garde-manger et les cuisines, mais même sans utiliser cette action ces liens seront automatiquement créés en fonction de la distance.

objective_HelpAdvancedFarming_child_3	Engrais
objective_HelpAdvancedFarming_child_3_Description	Il existe deux types d'engrais, l'engrais de compost et l'engrais de haute qualité, qui peuvent tous deux être utilisés pour améliorer la vitesse de croissance de vos cultures et aussi la possibilité de produire des semences au moment de la récolte.\n\nL'engrais de haute qualité a des effets plus importants que son équivalent de compost mais il est plus cher, alors que l'alternative compost est à la fois moins chère et peut être produite localement en utilisant l'objet Bac à compost en recyclant des plantes et des restes de nourriture.


objective_HelpAdvancedFarming_child_4	Agriculture automatique
objective_HelpAdvancedFarming_child_4_Description	Il y a 3 emplois agricoles qui peuvent être automatisés à l'aide d'articles : l'arrosage des cultures, la moisson des cultures et le ramassage de ces cultures.

objective_HelpGreenEnergy	Énergie verte

objective_HelpGreenEnergy_child_1	Types d'Énergies vertes
objective_HelpGreenEnergy_child_1_Description	Il existe trois nouvelles sources d'énergie verte, qui peuvent être utilisées pour remplacer la centrale électrique. \n\nÉoliennes \nPanneaux solaires \nÉoliennes à énergie solaire \nSeuls les panneaux solaires seront disponibles dans un premier temps. \n\nChaque source d'énergie verte a des propriétés légèrement différentes, notamment en termes de puissance, mais contrairement aux centrales électriques, elles peuvent être reliées entre elles pour former un ensemble comprenant jusqu'à 50 éléments.
